anime_id,name,genre,type,episodes,members
32995,Yuri!!! on Ice,"Comedy, Sports",TV,12,103178
21899,Gintama: Yorinuki Gintama-san on Theater 2D,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,2,11104
26055,JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season,"Action, Adventure, Drama, Shounen, Supernatural",TV,24,93657
7472,Gintama Movie: Shinyaku Benizakura-hen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,1,51185
777,Hellsing Ultimate,"Action, Horror, Military, Seinen, Supernatural, Vampire",OVA,10,297454
22535,Kiseijuu: Sei no Kakuritsu,"Action, Drama, Horror, Psychological, Sci-Fi, Seinen",TV,24,425457
28735,Shouwa Genroku Rakugo Shinjuu,"Drama, Historical, Josei",TV,13,71295
12431,Uchuu Kyoudai,"Comedy, Sci-Fi, Seinen, Slice of Life, Space",TV,99,72958
28805,Bakemono no Ko,"Adventure, Supernatural",Movie,1,80825
578,Hotaru no Haka,"Drama, Historical",Movie,1,174878
16894,Kuroko no Basket 2nd Season,"Comedy, School, Shounen, Sports",TV,25,243325
5028,Major S5,"Comedy, Drama, Romance, Sports",TV,25,28653
21,One Piece,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",TV,Unknown,504862
801,Ghost in the Shell: Stand Alone Complex 2nd GIG,"Action, Mecha, Military, Mystery, Police, Sci-Fi, Seinen",TV,26,113993
31933,JoJo no Kimyou na Bouken: Diamond wa Kudakenai,"Action, Adventure, Comedy, Drama, Shounen, Supernatural",TV,39,74074
5205,Kara no Kyoukai 7: Satsujin Kousatsu (Kou),"Action, Mystery, Romance, Supernatural, Thriller",Movie,1,95658
17389,Kingdom 2nd Season,"Action, Historical, Military, Seinen",TV,39,31234
170,Slam Dunk,"Comedy, Drama, School, Shounen, Sports",TV,101,82570
10162,Usagi Drop,"Josei, Slice of Life",TV,11,194855
18617,Girls und Panzer der Film,"Military, School",Movie,1,25641
32182,Mob Psycho 100,"Action, Comedy, Slice of Life, Supernatural",TV,12,193716
877,Nana,"Comedy, Drama, Music, Romance, Shoujo, Slice of Life",TV,47,197256
2251,Baccano!,"Action, Comedy, Historical, Mystery, Seinen, Supernatural",TV,13,363215
24687,Mushishi Zoku Shou: Odoro no Michi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Special,1,34011
16498,Shingeki no Kyojin,"Action, Drama, Fantasy, Shounen, Super Power",TV,25,896229
10030,Bakuman. 2nd Season,"Comedy, Drama, Romance, Shounen",TV,25,151561
5941,Cross Game,"Comedy, Drama, Romance, School, Sports",TV,50,53108
30346,Doukyuusei (Movie),"Romance, School, Shounen Ai, Slice of Life",Movie,1,28864
3784,Evangelion: 2.0 You Can (Not) Advance,"Action, Mecha, Sci-Fi",Movie,1,182224
13125,Shinsekai yori,"Drama, Horror, Mystery, Sci-Fi, Supernatural",TV,25,288376
12029,Uchuu Senkan Yamato 2199,"Action, Drama, Military, Sci-Fi, Space",OVA,26,44223
14397,Chihayafuru 2,"Drama, Game, Josei, Slice of Life, Sports",TV,25,86074
10087,Fate/Zero,"Action, Fantasy, Supernatural",TV,13,453630
14719,JoJo no Kimyou na Bouken (TV),"Action, Adventure, Shounen, Supernatural, Vampire",TV,26,190197
9756,Mahou Shoujo Madoka★Magica,"Drama, Magic, Psychological, Thriller",TV,12,462974
10165,Nichijou,"Comedy, School, Slice of Life",TV,26,254436
13601,Psycho-Pass,"Action, Police, Psychological, Sci-Fi",TV,22,509109
22789,Barakamon,"Comedy, Slice of Life",TV,12,225927
30230,Diamond no Ace: Second Season,"Comedy, School, Shounen, Sports",TV,51,38531
18115,Magi: The Kingdom of Magic,"Action, Adventure, Fantasy, Magic, Shounen",TV,25,245026
11981,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,"Drama, Magic, Psychological, Thriller",Movie,1,135735
11917,Major: World Series,"Comedy, Drama, Sports",OVA,2,13405
205,Samurai Champloo,"Action, Adventure, Comedy, Historical, Samurai, Shounen",TV,26,390076
32282,Shokugeki no Souma: Ni no Sara,"Ecchi, School, Shounen",TV,13,185015
6594,Katanagatari,"Action, Adventure, Historical, Martial Arts, Romance",TV,12,207241
11979,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,"Drama, Magic, Psychological, Thriller",Movie,1,85361
7655,Major S6,"Comedy, Drama, Sports",TV,25,24788
2246,Mononoke,"Demons, Fantasy, Historical, Horror, Mystery, Seinen, Supernatural",TV,12,88850
25835,Shirobako,"Comedy, Drama",TV,24,146895
2921,Ashita no Joe 2,"Drama, Sports",TV,47,6259
136,Hunter x Hunter,"Action, Adventure, Shounen, Super Power",TV,62,166255
30503,Noragami Aragoto,"Action, Adventure, Shounen, Supernatural",TV,13,299434
12531,Sakamichi no Apollon,"Drama, Josei, Music, Romance, School",TV,12,146592
523,Tonari no Totoro,"Adventure, Comedy, Supernatural",Movie,1,271484
467,Ghost in the Shell: Stand Alone Complex,"Action, Mecha, Military, Police, Sci-Fi, Seinen",TV,26,194491
572,Kaze no Tani no Nausicaä,"Adventure, Fantasy",Movie,1,143273
19815,No Game No Life,"Adventure, Comedy, Ecchi, Fantasy, Game, Supernatural",TV,12,602291
2559,Romeo no Aoi Sora,"Adventure, Drama, Historical, Slice of Life",TV,33,15074
392,Yuu☆Yuu☆Hakusho,"Action, Comedy, Demons, Fantasy, Martial Arts, School, Shounen",TV,112,195017
486,Kino no Tabi: The Beautiful World,"Action, Adventure, Slice of Life",TV,13,102822
11771,Kuroko no Basket,"Comedy, School, Shounen, Sports",TV,25,338315
1698,Nodame Cantabile,"Comedy, Drama, Josei, Music, Romance, Slice of Life",TV,23,157025
5341,Ookami to Koushinryou II,"Adventure, Fantasy, Historical, Romance",TV,12,210491
25781,Shingeki no Kyojin: Kuinaki Sentaku,"Action, Fantasy, Shoujo, Supernatural",OVA,2,92543
10863,Steins;Gate: Oukoubakko no Poriomania,"Sci-Fi, Thriller",Special,1,159548
28701,Fate/stay night: Unlimited Blade Works 2nd Season,"Action, Fantasy, Magic, Shounen, Supernatural",TV,13,205987
5420,Kemono no Souja Erin,"Drama, Fantasy",TV,50,36751
9260,Kizumonogatari I: Tekketsu-hen,"Mystery, Supernatural, Vampire",Movie,1,99579
32,Neon Genesis Evangelion: The End of Evangelion,"Dementia, Drama, Mecha, Psychological, Sci-Fi",Movie,1,215630
4224,Toradora!,"Comedy, Romance, School, Slice of Life",TV,25,633817
2236,Toki wo Kakeru Shoujo,"Adventure, Drama, Romance, Sci-Fi",Movie,1,289206
2685,Tsubasa: Tokyo Revelations,"Action, Adventure, Drama, Fantasy, Romance, Shounen",OVA,3,57963
31181,Owarimonogatari,"Comedy, Mystery, Supernatural",TV,12,107855
45,Rurouni Kenshin: Meiji Kenkaku Romantan,"Action, Adventure, Comedy, Historical, Romance, Samurai",TV,94,218928
2418,Stranger: Mukou Hadan,"Action, Adventure, Historical, Samurai",Movie,1,125503
1365,Detective Conan Movie 06: The Phantom of Baker Street,"Adventure, Mystery, Police, Shounen",Movie,1,28462
22297,Fate/stay night: Unlimited Blade Works,"Action, Fantasy, Magic, Shounen, Supernatural",TV,12,267484
627,Major S1,"Comedy, Drama, Shounen, Sports",TV,26,41061
10937,Mobile Suit Gundam: The Origin,"Action, Mecha, Military, Sci-Fi, Shounen, Space",OVA,6,15420
23755,Nanatsu no Taizai,"Action, Adventure, Ecchi, Fantasy, Shounen, Supernatural",TV,24,331627
4081,Natsume Yuujinchou,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,210736
4155,One Piece Film: Strong World,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,1,85020
1889,Higurashi no Naku Koro ni Kai,"Mystery, Psychological, Supernatural, Thriller",TV,24,218101
137,Hunter x Hunter OVA,"Action, Adventure, Shounen, Super Power",OVA,8,53168
139,Hunter x Hunter: Greed Island Final,"Action, Adventure, Shounen, Super Power",OVA,14,55787
23317,Kuroshitsuji: Book of Murder,"Comedy, Demons, Fantasy, Historical, Mystery, Shounen, Supernatural",OVA,2,67261
558,Major S2,"Comedy, Drama, Shounen, Sports",TV,26,30689
5040,One Outs,"Psychological, Seinen, Sports",TV,25,83056
57,Beck,"Comedy, Drama, Music, Shounen, Slice of Life",TV,26,148328
33,Berserk,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",TV,25,226430
5,Cowboy Bebop: Tengoku no Tobira,"Action, Drama, Mystery, Sci-Fi, Space",Movie,1,137636
1842,Major S3,"Drama, Shounen, Sports",TV,26,29528
6336,Mobile Suit Gundam Unicorn,"Action, Drama, Mecha, Military, Sci-Fi, Space",OVA,7,42076
20651,Natsume Yuujinchou: Itsuka Yuki no Hi ni,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",OVA,1,28302
1210,NHK ni Youkoso!,"Comedy, Drama, Psychological, Romance",TV,24,291228
338,Rose of Versailles,"Adventure, Drama, Historical, Romance, Shoujo",TV,40,32188
13759,Sakurasou no Pet na Kanojo,"Comedy, Drama, Romance, School, Slice of Life",TV,24,380375
6547,Angel Beats!,"Action, Comedy, Drama, School, Supernatural",TV,13,717796
5081,Bakemonogatari,"Mystery, Romance, Supernatural, Vampire",TV,15,482268
32867,Bungou Stray Dogs 2nd Season,"Mystery, Seinen, Supernatural",TV,12,83641
264,Hajime no Ippo: Champion Road,"Comedy, Shounen, Sports",Special,1,47840
12859,One Piece Film: Z,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,1,76051
853,Ouran Koukou Host Club,"Comedy, Harem, Romance, School, Shoujo",TV,26,422271
5460,Detective Conan Movie 13: The Raven Chaser,"Action, Mystery, Police, Shounen",Movie,1,21798
6746,Durarara!!,"Action, Mystery, Supernatural",TV,24,556431
5690,Nodame Cantabile Finale,"Comedy, Josei, Music, Romance",TV,11,67697
329,Planetes,"Drama, Romance, Sci-Fi, Seinen, Space",TV,26,105044
34240,Shelter,"Music, Sci-Fi",Music,1,71136
513,Tenkuu no Shiro Laputa,"Adventure, Fantasy, Romance, Sci-Fi",Movie,1,151061
6945,Gintama: Shiroyasha Koutan,"Action, Comedy, Historical, Parody, Sci-Fi",Special,1,27213
1142,Hachimitsu to Clover II,"Drama, Josei, Romance",TV,12,61493
6811,InuYasha: Kanketsu-hen,"Action, Adventure, Comedy, Demons, Fantasy, Magic, Romance, Shounen, Supernatural",TV,26,99128
16664,Kaguya-hime no Monogatari,"Fantasy, Historical",Movie,1,45547
1604,Katekyo Hitman Reborn!,"Action, Comedy, Shounen, Super Power",TV,203,258103
22145,Kuroshitsuji: Book of Circus,"Comedy, Demons, Fantasy, Historical, Shounen, Supernatural",TV,10,122895
2966,Ookami to Koushinryou,"Adventure, Fantasy, Historical, Romance",TV,13,334932
31964,Boku no Hero Academia,"Action, Comedy, School, Shounen, Super Power",TV,13,282002
19363,Gin no Saji 2nd Season,"Comedy, School, Shounen, Slice of Life",TV,11,67032
18195,Little Busters!: Refrain,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",TV,13,71820
9890,Major: Message,"Comedy, Drama, Sports",OVA,1,12282
9130,Saint Seiya: The Lost Canvas - Meiou Shinwa 2,"Action, Adventure, Martial Arts, Shounen, Super Power, Supernatural",OVA,13,27532
9863,SKET Dance,"Comedy, School, Shounen",TV,77,101027
7674,Bakuman.,"Comedy, Romance, Shounen",TV,25,246899
11843,Danshi Koukousei no Nichijou,"Comedy, School, Shounen, Slice of Life",TV,12,258914
16782,Kotonoha no Niwa,"Drama, Psychological, Romance, Slice of Life",Movie,1,189741
28675,Kyoukai no Kanata Movie: I&#039;ll Be Here - Mirai-hen,"Fantasy, Slice of Life, Supernatural",Movie,1,59815
3226,Major S4,"Comedy, Drama, Shounen, Sports",TV,26,28002
21557,Omoide no Marnie,"Drama, Mystery, Psychological",Movie,1,53590
31715,Working!!!: Lord of the Takanashi,"Comedy, Romance, Slice of Life",Special,1,31856
43,Ghost in the Shell,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",Movie,1,223036
9617,K-On! Movie,"Comedy, Music, Slice of Life",Movie,1,115252
31051,Kuroko no Basket: Saikou no Present Desu,"Action, School, Shounen, Sports",Special,1,22900
10153,Mahou Shoujo Lyrical Nanoha: The Movie 2nd A&#039;s,"Action, Comedy, Drama, Magic, Super Power",Movie,1,13315
1033,Sennen Joyuu,"Action, Adventure, Drama, Fantasy, Historical, Romance",Movie,1,58492
32188,Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,"Sci-Fi, Thriller",Special,1,38147
3091,xxxHOLiC Kei,"Comedy, Drama, Mystery, Psychological, Supernatural",TV,13,74941
12115,Berserk: Ougon Jidai-hen III - Kourin,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Seinen, Supernatural",Movie,1,65594
28223,Death Parade,"Drama, Game, Mystery, Psychological, Thriller",TV,12,383914
121,Fullmetal Alchemist,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",TV,51,600384
3002,Gyakkyou Burai Kaiji: Ultimate Survivor,"Game, Psychological, Seinen, Thriller",TV,26,98996
138,Hunter x Hunter: Greed Island,"Action, Adventure, Shounen, Super Power",OVA,8,57029
6675,Redline,"Action, Cars, Sci-Fi, Sports",Movie,1,109392
10800,Chihayafuru,"Drama, Game, Josei, Slice of Life, Sports",TV,25,158561
32005,Detective Conan Movie 20: The Darkest Nightmare,"Action, Mystery, Police, Shounen",Movie,1,6229
813,Dragon Ball Z,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",TV,291,375662
27821,Fate/stay night: Unlimited Blade Works - Prologue,"Action, Fantasy, Magic, Shounen, Supernatural",Special,1,106382
28725,Kokoro ga Sakebitagatterunda.,"Drama, Romance, School",Movie,1,59652
585,Mimi wo Sumaseba,"Adventure, Drama, Fantasy, Romance, Slice of Life",Movie,1,94435
16067,Nagi no Asukara,"Drama, Fantasy, Romance",TV,26,224947
30,Neon Genesis Evangelion,"Action, Dementia, Drama, Mecha, Psychological, Sci-Fi",TV,26,461946
31490,One Piece Film: Gold,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,1,18642
759,Tokyo Godfathers,"Comedy, Drama",Movie,1,89424
6,Trigun,"Action, Comedy, Sci-Fi",TV,26,283069
6864,xxxHOLiC Rou,"Mystery, Supernatural",OVA,2,36353
9735,Gintama: Shinyaku Benizakura-hen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Special,1,14002
11977,Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,"Drama, Magic, Psychological, Thriller",Movie,1,88164
11123,Sekaiichi Hatsukoi 2,"Comedy, Drama, Romance, Shounen Ai",TV,12,69253
23847,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,"Comedy, Drama, Romance, School",TV,13,222994
33161,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA,"Comedy, Romance, School",OVA,1,35120
962,Aria The Natural,"Fantasy, Sci-Fi, Shounen, Slice of Life",TV,26,39596
1519,Black Lagoon: The Second Barrage,"Action, Seinen",TV,12,203233
2167,Clannad,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",TV,23,566690
16706,Kami nomi zo Shiru Sekai: Megami-hen,"Comedy, Harem, Romance, Shounen, Supernatural",TV,12,142612
5681,Summer Wars,"Comedy, Sci-Fi",Movie,1,223359
3901,Baccano! Specials,"Action, Comedy, Historical, Mystery, Seinen, Supernatural",Special,3,100412
6467,Detective Conan Movie 14: The Lost Ship in the Sky,"Action, Mystery, Police, Shounen",Movie,1,20602
10271,Gyakkyou Burai Kaiji: Hakairoku-hen,"Game, Psychological, Seinen, Thriller",TV,26,55566
22507,Initial D Final Stage,"Cars, Seinen, Sports",TV,4,19702
3701,Kaiba,"Adventure, Mystery, Romance, Sci-Fi",TV,12,56927
19123,One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",Special,1,17247
33255,Saiki Kusuo no Ψ-nan (TV),"Comedy, School, Shounen, Supernatural",TV,120,47092
372,Cardcaptor Sakura Movie 2: Fuuin Sareta Card,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo",Movie,1,60637
265,Hajime no Ippo: Mashiba vs. Kimura,"Comedy, Shounen, Sports",OVA,1,40623
25681,Kamisama Hajimemashita◎,"Comedy, Demons, Fantasy, Romance, Shoujo, Supernatural",TV,12,91796
4722,Skip Beat!,"Comedy, Drama, Romance, Shoujo",TV,25,134818
24277,Yowamushi Pedal: Grande Road,"Comedy, Drama, Shounen, Sports",TV,24,50778
239,Gankutsuou,"Drama, Mystery, Sci-Fi, Supernatural, Thriller",TV,24,103828
512,Majo no Takkyuubin,"Adventure, Comedy, Drama, Fantasy, Magic, Romance",Movie,1,152331
4477,Nodame Cantabile: Paris-hen,"Comedy, Josei, Music, Romance, Slice of Life",TV,11,70822
15323,One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",Special,1,24707
31174,Osomatsu-san,"Comedy, Parody",TV,25,60988
23327,Space☆Dandy 2nd Season,"Comedy, Sci-Fi, Space",TV,13,60918
5365,Tsumiki no Ie,Drama,Movie,1,45189
3702,Detroit Metal City,"Comedy, Music",OVA,12,104893
3167,Eve no Jikan,"Sci-Fi, Slice of Life",ONA,6,99074
7465,Eve no Jikan (Movie),"Sci-Fi, Slice of Life",Movie,1,66376
7054,Kaichou wa Maid-sama!,"Comedy, Romance, School, Shoujo",TV,26,391628
1257,Saint Seiya: Meiou Hades Juuni Kyuu-hen,"Adventure, Sci-Fi, Shounen",OVA,13,23701
23283,Zankyou no Terror,"Psychological, Thriller",TV,11,342893
2025,Darker than Black: Kuro no Keiyakusha,"Action, Mystery, Sci-Fi, Super Power",TV,25,440334
235,Detective Conan,"Adventure, Comedy, Mystery, Police, Shounen",TV,Unknown,114702
1364,Detective Conan Movie 05: Countdown to Heaven,"Adventure, Comedy, Mystery, Police, Shounen",Movie,1,25432
18689,Diamond no Ace,"Comedy, School, Shounen, Sports",TV,75,81384
22043,Fairy Tail (2014),"Action, Adventure, Comedy, Fantasy, Magic, Shounen",TV,102,255076
31988,Hibike! Euphonium 2,"Drama, Music, School",TV,13,47716
20899,JoJo no Kimyou na Bouken: Stardust Crusaders,"Action, Adventure, Drama, Shounen, Supernatural",TV,24,120089
1453,Maison Ikkoku,"Comedy, Drama, Romance, Slice of Life",TV,96,22079
23623,Non Non Biyori Repeat,"Comedy, School, Seinen, Slice of Life",TV,12,64230
1559,Shijou Saikyou no Deshi Kenichi,"Action, Comedy, Martial Arts, School, Shounen",TV,50,129112
1382,Yuusha-Ou GaoGaiGar Final,"Adventure, Drama, Mecha, Sci-Fi, Shounen",OVA,8,5001
23289,Gekkan Shoujo Nozaki-kun,"Comedy, Romance, School",TV,12,292622
18,Initial D Fourth Stage,"Action, Cars, Drama, Seinen, Sports",TV,24,41584
4814,Junjou Romantica 2,"Comedy, Drama, Romance, Shounen Ai",TV,12,87617
16662,Kaze Tachinu,"Drama, Historical, Romance",Movie,1,75359
12031,Kingdom,"Action, Historical, Military, Seinen",TV,38,54211
8129,Kuragehime,"Comedy, Josei, Slice of Life",TV,11,108053
14513,Magi: The Labyrinth of Magic,"Action, Adventure, Fantasy, Magic, Shounen",TV,25,317513
2581,Mobile Suit Gundam 00,"Action, Drama, Mecha, Military, Sci-Fi, Space",TV,25,120351
30015,ReLIFE,"Romance, School, Slice of Life",TV,13,202249
6171,Saint Seiya: The Lost Canvas - Meiou Shinwa,"Action, Adventure, Martial Arts, Shounen, Super Power, Supernatural",OVA,13,40355
1827,Seirei no Moribito,"Action, Adventure, Fantasy, Historical",TV,26,106888
25013,Akatsuki no Yona,"Action, Adventure, Comedy, Fantasy, Romance, Shoujo",TV,24,216674
1367,Detective Conan Movie 08: Magician of the Silver Sky,"Adventure, Comedy, Mystery, Police, Shounen",Movie,1,23130
27833,Durarara!!x2 Ketsu,"Action, Mystery, Supernatural",TV,12,115295
26213,Free!: Eternal Summer Special,"Comedy, School, Slice of Life",Special,1,36091
1974,Glass no Kamen (2005),"Drama, Shoujo",TV,51,17038
8425,Gosick,"Drama, Historical, Mystery, Romance",TV,24,232113
12069,Hajime no Ippo: Boxer no Kobushi,"Comedy, Drama, Shounen, Sports",Special,1,20157
185,Initial D First Stage,"Action, Cars, Drama, Seinen, Sports",TV,26,68128
18679,Kill la Kill,"Action, Comedy, School, Super Power",TV,24,508118
2034,Lovely★Complex,"Comedy, Romance, Shoujo",TV,24,235003
437,Perfect Blue,"Dementia, Drama, Horror, Psychological",Movie,1,117565
721,Princess Tutu,"Comedy, Fantasy, Magic, Romance",TV,38,73218
12477,Sakasama no Patema,"Sci-Fi, Seinen",Movie,1,89749
4938,Tsubasa: Shunraiki,"Action, Adventure, Drama, Fantasy, Magic, Mystery, Romance, Shounen, Supernatural",OVA,2,40420
2402,Ashita no Joe,"Drama, Sports",TV,79,15442
6702,Fairy Tail,"Action, Adventure, Comedy, Fantasy, Magic, Shounen",TV,175,584590
1566,Ghost in the Shell: Stand Alone Complex - Solid State Society,"Mecha, Military, Mystery, Police, Sci-Fi, Seinen",Special,1,55247
